---

### HSK1级

#### 篇目1：饮食习俗 – 我喜欢吃饺子  
2. 一般把主要菜系分为八个：鲁、川、粤、苏、闽、浙、湘、徽。  
3. 鲁菜是山东菜，口味咸鲜，善于用葱姜蒜。  
4. 川菜是四川菜，特点是麻辣，代表菜有麻婆豆腐、宫保鸡丁。  
5. 粤菜是广东菜，清淡鲜美，注重原味，喜欢用海鲜。  
6. 苏菜是江苏菜，口味平和，刀工精细，比如清炖蟹粉狮子头。  
7. 闽菜是福建菜，常用红糟和虾油，佛跳墙是经典。  
8. 浙菜是浙江菜，清新爽口，西湖醋鱼很有名。  
9. 湘菜是湖南菜，香辣浓郁，剁椒鱼头是代表。  
10. 徽菜是安徽菜，讲究火候，擅长烧和炖，比如臭鳜鱼。  

#### 篇目6：道德伦理 – 君子与小人的区别  
1. 在儒家思想中，“君子”与“小人”是两种对立的人格。  
2. 君子喻于义，小人喻于利。君子看重道义，小人只看重利益。  
3. 君子坦荡荡，小人长戚戚。君子心胸开阔，小人常常忧愁不安。  
4. 君子求诸己，小人求诸人。君子遇到问题反省自己，小人责怪别人。  
5. 君子成人之美，不成人之恶。君子帮助别人做好事，不怂恿别人做坏事。  
6. 君子和而不同，小人同而不和。君子能和谐相处但保持独立，小人表面一致却内心冲突。  
7. 君子上达，小人下达。君子追求高尚的道德，小人追求低级的欲望。  
8. 孔子希望弟子们做君子，不做小人。  
9. 成为君子需要不断学习和修身。  
10. 君子和小人的区分至今仍是中国道德评价的重要标准。  

#### 篇目7：寓言童话 – 滥竽充数  
1. 战国时，齐宣王喜欢听吹竽。  
2. 而且他喜欢听三百人一起吹。  
3. 有个不会吹竽的人叫南郭先生，他想混进去。  
4. 他假装会吹，在乐队里摇头晃脑，表情很投入。  
5. 齐宣王没有发现，给了他和其他人一样的报酬。  
6. 过了几年，齐宣王死了，他的儿子齐湣王继位。  
7. 齐湣王也喜欢听吹竽，但喜欢听一个人一个人地吹。  
8. 南郭先生知道自己没法再装下去了，就逃跑了。  
9. 这个故事讽刺了没有真本事却混在行家里的人。  
10. 后来“滥竽充数”也用来比喻以次充好。  

#### 篇目8：政治法律 – 人民代表大会制度  
1. 中国的根本政治制度是人民代表大会制度。  
2. 国家的一切权力属于人民。  
3. 人民通过选举选出代表，组成人民代表大会。  
4. 人民代表大会分为全国人大和地方各级人大。  
5. 全国人大是最高国家权力机关。  
6. 全国人大制定法律、决定国家重大事项、选举国家领导人。  
7. 人大代表来自各行各业、各个民族。  
8. 人大代表要听取和反映人民的意见，提出议案和建议。  
9. 政府和法院、检察院都由人大产生，对它负责，受它监督。  
10. 人民代表大会制度保证了人民当家作主。  

#### 篇目9：思想观念 – 天人合一  
1. “天人合一”是中国古代哲学的重要观念，尤其体现在道家和儒家思想中。  
2. “天”指自然、宇宙，“人”指人类。  
3. 天人合一主张人类与自然不是对立的，而是和谐统一的整体。  
4. 道家认为人应该顺应自然的规律，不要强行改变自然。  
5. 儒家则认为人的道德来源于天地之性，修养自身就能与天地相通。  
6. 孟子说：“尽心知性则知天。”意思是充分了解自己的本性，就能了解天。  
7. 中国古代建筑、中医、绘画都体现了天人合一的思想。  
8. 比如传统园林模仿自然山水，追求“虽由人作，宛自天开”。  
9. 在环境问题严重的今天，天人合一的思想提醒人们尊重自然。  
10. 它指出了人与自然和谐共生的理想状态。  

#### 篇目10：历史故事 – 草船借箭  
1. 《三国演义》中有一个著名的故事叫草船借箭。  
2. 三国时，诸葛亮和周瑜一起对抗曹操。  
3. 周瑜刁难诸葛亮，让他十天造出十万支箭。  
4. 诸葛亮说：“不用十天，三天就够了。”  
5. 他借了二十条船，每条船上扎满草人。  
6. 第三天清晨，江上起了大雾。  
7. 诸葛亮把船开向曹营。  
8. 曹操看不清敌情，命令士兵射箭。  
9. 箭都射在了草人上。诸葛亮把船掉头，另一面也射满了。  
10. 最后他得了十几万支箭，按时完成任务。  

